Question;Answer;Explanation;Proposition0;Proposition1;Proposition2
Quel est aujourd'hui le record de hauteur atteinte par des vagues scélérates ?;Proposition2;;10m;20m;30m
En quelle année le paquebot Titanic a-t-il été achevé ?;Proposition2;Sa construction débuta en 1909 à Belfast et se termina en 1912.;1785;1882;1912
Qui a déclaré les pirates de l'Antiquité comme des ennemis communs à tous ?;Proposition0;;Cicéron;Sénèque;Aristote
Quel mot qualifie un marin autorisé par un gouvernement à attaquer, en temps de guerre, tout navire jugé ennemi;Proposition1;Contrairement aux pirates qui pratiquent le banditisme.;Un pirate;Un corsaire;Un mercenaire
Le naufrage du Titanic a eu lieu lors d’un voyage :;Proposition0;Lors de son naufrage, le paquebot heurte un iceberg sur tribord.;Inaugural;Banal;Final
En Europe, est le 1er port en terme de tonnage ?;Proposition1;Rotterdam est, de loin, le 1er port européen en terme de tonnage avec 370 millions de tonnes en 2005 par exemple, en comparaison avec 160 millions de tonnes pour Anvers la même année.;Anvers;Rotterdam;Marseilles
Comment appelle-t-on la période pendant laquelle la marée est montante ?;Proposition0;On l'appelle aussi flux.;Le flot;La montée;L’élévation
Comment appelle-t-on la période pendant laquelle la marée est descendante ?;Proposition1;On l'appelle aussi reflux ou ebbe.;La descente;Le jusant;La baisse
Comment appelle-t-on le côté gauche d'un navire en regardant vers l'avant ?;Proposition2;;Libord;Tribord;Bâbord
Comment appelle-t-on l'action d'intercepter, questionner un navire ?;Proposition0;;Arraisonner;Interroger;Forcer
Comment appelle-t-on l'objet lourd métallique employé pour fixer des bateaux à un endroit spécifique sur les fonds ?;Proposition1;;Le poids;L'ancre;La masse
