Question;Answer;Explanation;Proposition0;Proposition1;Proposition2
Quel homme est considéré comme le père de la médecine et également le premier médecin ?;Proposition0;Après ce médecin grec, la première femme à avoir obtenu le diplôme de médecin est la russe Nadejda Souslova.;Hippocrate;Aristote;Platon
Quel est le taux moyen de réussite du concours de médecine ?;Proposition1;;5,3%;12,5%;25,8%
Lequel de ces domaines n'est pas évoqué dans le serment d'Hippocrate ?;Proposition2;;La séduction;L'avortement;Le cancer
Comment appelle-t-on la déesse des soins ?;Proposition0;D'où la définition de ce terme aujourd'hui.;Panacée;Aphrodite;Athéna
Lequel de ces dieux est également considéré comme médecin ?;Proposition1;;Zeus;Apollon;Cupidon
Comment appelle-t-on la déesse de la santé ?;Proposition2;D'où le terme hygiène aujourd'hui, si important dans le maintien d'une bonne santé.;Diane;Héra;Hygie
Comment appelle-t-on le phénomène par lequel un agent augmente le caractère actif, efficace ou allergène d'une autre substance ?;Proposition0;L'agent sensibilisant peut être un produit naturel, de synthèse ou même parfois la simple lumière du soleil.;La potentialisation;Le renforcement;La catalyse
Comment appelle-t-on l'interaction entre deux médicaments dont l'activité pharmaceutique est opposée ?;Proposition1;L’administration simultanée des deux médicaments entraîne l'inhibition partielle ou complète de l'action de l'un d'entre eux.;La concurrence;L'antagonisme;La compétition
Comment appelle-t-on un test réalisé dans un milieu interne à un organisme vivant ?;Proposition0;In vitro est utilisé pour un test en tube : en dehors de l'organisme vivant ou de la cellule.;In vivo;In vitro;In corpo
Comment appelle-t-on un test effectué au moyen de calculs informatisés ou de modèles informatiques ?;Proposition2;Cette expression est surtout utilisée dans les domaines de la génomique et la bioinformatique.;In utero;In informatico;In silico
